language,id,text,file,node,lineNumber,lock,comment
ko,line:0cf083f,Me: ......,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,BadEnding1_Monologue,3,f511388f,
ko,line:0dd3623,Me: It looks like no receipt is coming in at all.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,BadEnding1_Monologue,4,e1219f49,
ko,line:0968bcd,Me: ......,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,BadEnding1_Monologue,5,f511388f,
ko,line:01591d7,Baepsae: No one is ordering anything.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,BadEnding1_Monologue,8,cfd24dee,
ko,line:0c34be7,"Baepsae: Well, I suppose that’s expected, considering you haven’t done anything for two days.",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,BadEnding1_Monologue,10,76b06716,
ko,line:0e6560b,Baepsae: You really are the worst employee.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,BadEnding1_Monologue,11,4f40d6d3,
ko,line:09a5411,Baepsae: I don’t think you need to show up anymore.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,BadEnding1_Monologue,12,7b8c0424,
ko,line:097c832,Baepsae: Thank you for working hard for the past two weeks.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,BadEndingScene3,20,ac8250c0,
ko,line:0a67a6e,Baepsae: But... I don't think you're quite the right fit for this role.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,BadEndingScene3,21,1a90bccd,
ko,line:06cf7f7,Baepsae: I hope you can pursue your dreams elsewhere!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,BadEndingScene3,23,175a2f43,
ko,line:0ec3708,Baepsae: Good job working for the last two weeks!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,NormalEndingScene,30,3e1dc069,
ko,line:0900fdf,Baepsae: I actually like you quite a bit... would you like to become my official employee?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,NormalEndingScene,31,ee9d1cbd,Line metadata: lastline
ko,line:07f664b,Yes,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,NormalEndingScene,32,2eb73fba,
ko,line:0675b64,No,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,NormalEndingScene,33,4c490f1c,
ko,line:0f7edaf,Baepsae: What did you say?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,NormalEndingScene,34,25cfcf93,Line metadata: lastline
ko,line:0799519,Yes,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,NormalEndingScene,35,2eb73fba,
ko,line:02db3c5,"No, I mean yes!",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,NormalEndingScene,36,e7306700,
ko,line:0b8fb65,Baepsae: Good choice.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,NormalEndingScene,38,47982968,
ko,line:0b51cb4,Baepsae: I look forward to working with you!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,NormalEndingScene,40,04a2fc20,
ko,line:05ddaa2,Baepsae: You've done a great job over the last two weeks!,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,HappyEndingScene,47,3e1dc069,
ko,line:0e071d2,Baepsae: You did even better than I expected.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,HappyEndingScene,49,6b2c0d52,
ko,line:038cf21,Baepsae: You've been a huge help in running the shop.,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,HappyEndingScene,50,7b79bcd9,
ko,line:0d2d6d8,"Baepsae: So, I would be thrilled if you’d stay on as my employee!",C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,HappyEndingScene,51,fe638a23,
ko,line:05f1d33,Baepsae: How would you like to keep running this shop with me?,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,HappyEndingScene,52,c0a08465,Line metadata: lastline
ko,line:0e4eb2c,Yes,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,HappyEndingScene,53,2eb73fba,
ko,line:03c6b87,Yes,C:\Fork\Tteokbokki\Tteokbokki\Assets\07.YarnSpinner\YarnScript\EndingYarnScript.yarn,HappyEndingScene,54,2eb73fba,
